Brewery ID,Brewer Name,City,State,Zip,Lat,Long
304,Brewery Budweiser Budvar / B.B.N.P.,,,,,
306,Coors Brewing Company,,,,,
307,"Kinsale Brewing Company,",,,,,
309,Brasserie Duyck,,,,,
319,Brau Union Österreich AG,,,,,
322,Brouwerij Smisje,,,,,
339,Flying Fish Brewing Company,,,,,
341,Columbus Brewing Company,,,,,
343,"Jasper Murdock’s Alehouse, Dining Room & Microbrewery",,,,,
350,Coeur d'Alene Brewing Co.,,,,,
351,Steam Plant Grill,,,,,
353,"Carlton & United Breweries, Ltd.",,,,,
355,San Miguel Corporation,,,,,
357,New England Brewing Co.,,,,,
360,Warsteiner Brauerei,,,,,
363,Big Time Brewery & Alehouse,,,,,
365,Pike Pub & Brewery,,,,,
366,Thomas Kemper Brewing Co.,,,,,
371,Montgomery Brewing Company,,,,,
372,Olde Auburn Ale House,,,,,
378,Atlantic Brewing Company,,,,,
379,Moosehead Breweries Ltd.,,,,,
380,Brasserie Castelain,,,,,
381,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,,,,,
384,New Knoxville Brewing Company,,,,,
386,Broken Tooth Brewing,,,,,
387,Edsten Brewing Company,,,,,
388,Brasserie Cantillon,,,,,
389,Ceylon / Lion Brewery Limited,,,,,
390,Oaken Barrel Brewing Company,,,,,
392,Weyerbacher Brewing Co.,,,,,
394,Stoudts Brewing Co.,,,,,
395,Bluegrass Brewing Co. - East St. Matthew's,,,,,
396,AleSmith Brewing Company,,,,,
397,Pipkin Brewery,,,,,
400,Belfast Bay Brewing Co.,,,,,
401,Baltika Breweries,,,,,
402,Old Dominion Brewing Company,,,,,
409,Central Coast Brewing,,,,,
410,Pittsburgh Brewing Co.,,,,,
411,Stoney Creek Brewing Company,,,,,
414,Diamond Bear Brewing Company,,,,,
417,August Schell Brewing Company,,,,,
420,Oldenberg Brewing Company,,,,,
421,Formosa Brewing Co.,,,,,
423,Boulevard Brewing Co.,,,,,
425,H.C. Berger Brewing Co.,,,,,
426,Maclay Inns Ltd.,,,,,
428,Mahrs-Bräu,,,,,
430,Alltech’s Lexington Brewing and Distilling Co.,,,,,
432,Bohannon Brewery / Market Street Brewery,,,,,
433,Molson Coors Canada,,,,,
434,Cervejaria Sul Brasileira,,,,,
435,Minhas Craft Brewery,,,,,
437,Pivovary Staropramen,,,,,
439,UNICER União Cervejeira S.A.,,,,,
440,Ochakovo,,,,,
442,F & M Schaefer Brewing Co.,,,,,
443,Roffey  Brewing Company,,,,,
445,Bedele Brewery,,,,,
446,Traverse Brewing Company,,,,,
447,Pabst Brewing Company,,,,,
449,New Amsterdam Brewing Company,,,,,
451,Moat Mountain Smoke House & Brewing Co.,,,,,
453,Pivovarna Laško,,,,,
455,Creemore Springs Brewery Limited,,,,,
457,Lakeport Brewing Company,,,,,
459,Mackinaw Brewing Company,,,,,
460,Belmont Brewing Company,,,,,
464,Badische Staatsbrauerei Rothaus AG,,,,,
466,South African Breweries plc,,,,,
467,Summit Brewing Company,,,,,
468,Minnesota Brewing Company,,,,,
470,Abbaye de Leffe S.A.,,,,,
471,Brauerei Fässla,,,,,
473,Pacific Western Brewing Company,,,,,
474,Inertia Industries Ltd.,,,,,
475,Pivovarna Union,,,,,
476,Swale Brewery,,,,,
477,Willimantic Brewing Co.,,,,,
479,Watney Truman Ltd.,,,,,
481,Stuttgarter Hofbräu AG,,,,,
482,Hansa Borg Bryggerier ASA,,,,,
483,Grans Bryggeri AS,,,,,
485,Humboldt Brews LLC,,,,,
487,Tampa Bay Brewing Co.,,,,,
489,Brouwerij 't IJ,,,,,
490,Liquid Manufacturing (Arlington Brewing Co.),,,,,
491,Coopers Brewery Limited,,,,,
493,Cosmos Brewery (Thai Beverage Plc.),,,,,
495,Saxer Brewing Company / Nor'Wester Beer Company,,,,,
499,Het Brouw Café,,,,,
500,Surinaamse Brouwerij N.V.,,,,,
502,Bintang,,,,,
503,Dreher Brewery,,,,,
505,Den Engel Bierbrouwers,,,,,
507,Gulpener Bierbrouwerij B.V.,,,,,
508,Burg Bier Brouwerij,,,,,
509,Haerlemsche Bierbrouwerij B.V.,,,,,
511,Stadsbrouwerij De Hemel,,,,,
512,De 3 Horne Bierbrouwerij,,,,,
514,Jopen Bier BV Haarlem,,,,,
515,Huisbrouwerij Klein Duimpje,,,,,
517,Brouwerij De Drie Kruizen,,,,,
518,Bierbrouwerij De Leeuw B.V.,,,,,
521,Bierbrouwerij Onder De Linden,,,,,
524,Bierbrouwerij De Schans,,,,,
530,Arcense Stoombierbouwerij (Hertog Jan Brouwerij),,,,,
532,Budelse Brouwerij B.V.,,,,,
533,Dommelsche Bierbrouwerij,,,,,
534,Erve Kots Brouwerij,,,,,
535,Friese Bierbrouwerij,,,,,
537,Groningse Stadsbrouwerij,,,,,
539,Hoeksche Waard Bierbrouwerij,,,,,
540,Brouwerij De Horste,,,,,
544,Brouwerij De Leckere,,,,,
545,Lindeboom Bierbrouwerij B.V.,,,,,
546,Alfa Bierbrouwerij B.V.,,,,,
547,Bierbrouwerij Moerenburg,,,,,
549,Brouwerij De Pauw B.V.,,,,,
550,Stadsbrouwerij De Pelgrim,,,,,
552,Scheldebrouwerij,,,,,
553,Bierbrouwerij Sint Christoffel B.V,,,,,
554,Bierbrouwerij Sint-Servattumus,,,,,
555,Feldschlösschen Beverages Group,,,,,
558,Independent Liquor,,,,,
559,Speakeasy Ales & Lagers,,,,,
560,Saku Brewery LTD,,,,,
561,Colorado Brewing & Trading Co.,,,,,
562,Steinhaus Brewing Co.,,,,,
564,Island Cafe & Brew Pub,,,,,
566,Krombacher Brauerei,,,,,
567,Orchard Street Brewery,,,,,
568,Browar Okocim S.A. (Carlsberg),,,,,
569,Anadolu Efes Brewery,,,,,
571,Pivovar Radegast a.s.,,,,,
572,Castlemaine Perkins,,,,,
573,Hahn Brewing Co. Pty. Ltd.,,,,,
574,Swan Brewery,,,,,
576,Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.,,,,,
577,Isle Of Skye Brewery,,,,,
