beer,abv,ibu,style,brewery
Celebration Ale,6.8,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.
Torpedo Extra IPA,7.2,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.
Chico Estate Harvest Ale,6.7,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.
Bigfoot,9.6,10.0,American-Style Barley Wine Ale,Sierra Nevada Brewing Co.
Stout,5.8,10.0,American-Style Stout,Sierra Nevada Brewing Co.
Sierra Nevada Imperial Stout,14.55,10.0,American-Style Imperial Stout,Sierra Nevada Brewing Co.
Sierra Nevada Kellerweis,4.5,10.0,South German-Style Hefeweizen,Sierra Nevada Brewing Co.
Summerfest,5.0,10.0,German-Style Pilsener,Sierra Nevada Brewing Co.
Glissade Golden Bock,6.4,10.0,German-Style Heller Bock/Maibock,Sierra Nevada Brewing Co.
Dark Wheat,4.5,10.0,American-Style Lager,Sierra Nevada Brewing Co.
Unfiltered Wheat Beer,4.4,10.0,Light American Wheat Ale or Lager,Sierra Nevada Brewing Co.
Cocoa Porter,4.5,10.0,Undefined-Ignore,Tommyknocker Brewery and Pub
Pick Axe Pale Ale,4.5,10.0,American-Style Pale Ale,Tommyknocker Brewery and Pub
Maple Nut Brown Ale Ale,4.5,10.0,American-Style Brown Ale,Tommyknocker Brewery and Pub
Imperial Nut Brown,9.8,10.0,American-Style Brown Ale,Tommyknocker Brewery and Pub
Black Powder Stout,4.5,10.0,American-Style Stout,Tommyknocker Brewery and Pub
Butthead Doppelbock,8.2,10.0,German-Style Doppelbock,Tommyknocker Brewery and Pub
Ornery Amber Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub
Alpine Glacier Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub
Red Eye Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub
Tundrabeary Ale,4.5,10.0,Light American Wheat Ale or Lager,Tommyknocker Brewery and Pub
Jack Whacker Wheat Ale,4.5,10.0,Light American Wheat Ale or Lager,Tommyknocker Brewery and Pub
Bridal Ale 2005,4.5,10.0,Undefined-Ignore,Pelican Pub & Brewery
India Pelican Ale,4.5,10.0,American-Style Pale Ale,Pelican Pub & Brewery
Doryman's Dark Ale,5.8,10.0,American-Style Brown Ale,Pelican Pub & Brewery
Red Sled Winter Ale,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company
Irish Red,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company
Belgian Wit,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company
Porter,4.5,10.0,Porter,Nebraska Brewing Company
Cardinal Pale Ale,4.5,10.0,American-Style Pale Ale,Nebraska Brewing Company
India Pale Ale,4.5,10.0,American-Style Pale Ale,Nebraska Brewing Company
Brunette Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Nebraska Brewing Company
EOS Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Nebraska Brewing Company
Bourbon County Stout 2007,13.0,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Matilda,7.0,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Pere Jacques,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Pils,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Summertime Kí_lsch,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Christmas Ale,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street
Stockyard Oatmeal Stout,6.0,10.0,Oatmeal Stout,Goose Island Beer Company - Fulton Street
India Pale Ale,4.5,10.0,American-Style Pale Ale,Goose Island Beer Company - Fulton Street
Goose Island IPA,5.9,10.0,American-Style India Pale Ale,Goose Island Beer Company - Fulton Street
Hex Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Goose Island Beer Company - Fulton Street
Oatmeal Stout,4.5,10.0,American-Style Stout,Goose Island Beer Company - Fulton Street
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Goose Island Beer Company - Fulton Street
Demolition,8.0,10.0,American-Style Lager,Goose Island Beer Company - Fulton Street
Baderbrí_u Pilsener,4.5,10.0,American-Style Lager,Goose Island Beer Company - Fulton Street
Grand Cru,4.5,10.0,Undefined-Ignore,Thunderhead Brewery #2
Nitro Porter,4.5,10.0,Porter,Thunderhead Brewery #2
Imperial Porter,4.5,10.0,Porter,Thunderhead Brewery #2
Modern Monks Belgian Blonde,4.5,10.0,American-Style Pale Ale,Thunderhead Brewery #2
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Thunderhead Brewery #2
Espresso Porter,4.5,10.0,Undefined-Ignore,Montana Brewing
Stillwater Rye,4.5,10.0,Undefined-Ignore,Montana Brewing
Sandbagger Gold,4.5,10.0,Undefined-Ignore,Montana Brewing
Harvest Ale,4.5,10.0,American-Style Pale Ale,Montana Brewing
Sharptail Pale Ale,4.5,10.0,American-Style Pale Ale,Montana Brewing
Billings IPA,4.5,10.0,American-Style India Pale Ale,Montana Brewing
Fat Belly Amber,4.5,10.0,American-Style Amber/Red Ale,Montana Brewing
Whitetail Wheat,4.5,10.0,American-Style Lager,Montana Brewing
La Folie Falling Rock,6.0,10.0,Undefined-Ignore,New Belgium Brewing
Mothership Wit,4.8,10.0,Undefined-Ignore,New Belgium Brewing
La Folie,6.0,10.0,Undefined-Ignore,New Belgium Brewing
Saison,4.5,10.0,Undefined-Ignore,New Belgium Brewing
2íÁ Below,6.6,10.0,Extra Special Bitter,New Belgium Brewing
Big Shot Seasonal Ale,4.5,10.0,Porter,New Belgium Brewing
Ranger India Pale Ale,6.5,10.0,American-Style India Pale Ale,New Belgium Brewing
Skinny Dip,4.2,10.0,Golden or Blonde Ale,New Belgium Brewing
Abbey Belgian Style Ale,7.0,10.0,Belgian-Style Dubbel,New Belgium Brewing
New Belgium Trippel Belgian Style Ale,8.5,10.0,Belgian-Style Tripel,New Belgium Brewing
Frambozen,4.5,10.0,Belgian-Style Fruit Lambic,New Belgium Brewing
1554 Enlightened Black Ale,5.5,10.0,Other Belgian-Style Ales,New Belgium Brewing
Blue Paddle Pilsener,4.8,10.0,German-Style Pilsener,New Belgium Brewing
Sunshine Wheat,4.8,10.0,Light American Wheat Ale or Lager,New Belgium Brewing
Triple Dipsea Belgian,9.2,10.0,Undefined-Ignore,Marin Brewing
Hoppy Holidaze,4.5,10.0,Undefined-Ignore,Marin Brewing
Point Reyes Porter,4.5,10.0,Porter,Marin Brewing
Eldridge Grade White Knuckle Ale,4.5,10.0,American-Style Pale Ale,Marin Brewing
I.P.A.,4.5,10.0,American-Style Pale Ale,Marin Brewing
Mt.Tam Pale Ale,5.8,10.0,American-Style Pale Ale,Marin Brewing
Albion Amber Ale,4.9,10.0,American-Style Brown Ale,Marin Brewing
Hefe Weiss,5.1,10.0,American-Style Lager,Marin Brewing
Imperial Hefeweizen,7.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
ESB,4.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Thomas Kemper Belgian White,4.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Snow Cap Ale,4.5,10.0,Old Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Thomas Kemper Porter,4.5,10.0,Porter,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Porter,4.5,10.0,Porter,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Pale,4.5,10.0,American-Style Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
DPA,4.5,10.0,American-Style Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
IPA,4.5,10.0,American-Style India Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Best Brown,4.5,10.0,American-Style Brown Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Stout,4.5,10.0,American-Style Stout,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Thomas Kemper HefeWeizen,4.5,10.0,South German-Style Hefeweizen,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Oktoberfest,4.5,10.0,German-Style Oktoberfest,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Amber Lager,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
HefeWeizen,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Summer Brau,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Sun Fest,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Wheaten Ale,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Honey Weizen,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Apricot Wheat,5.1,10.0,Light American Wheat Ale or Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Weizenberry,4.5,10.0,Light American Wheat Ale or Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley"
Organic Gingerbread Ale,6.8,10.0,Undefined-Ignore,Bison Brewing
Organic Barley Wine Ale 2005,9.5,10.0,Undefined-Ignore,Bison Brewing
Organic Belgian Ale,4.5,10.0,Undefined-Ignore,Bison Brewing
Bison Chocolate Stout,4.5,10.0,Undefined-Ignore,Bison Brewing
Red Oak Ale,4.5,10.0,American-Style Pale Ale,Bison Brewing
Old Boardhead 2006,9.0,10.0,Undefined-Ignore,Full Sail Brewing #1
Old Boardhead 1999,4.5,10.0,Undefined-Ignore,Full Sail Brewing #1
Wassail Winter Ale,4.5,10.0,Old Ale,Full Sail Brewing #1
Very Special Pale Golden Ale,5.9,10.0,American-Style Pale Ale,Full Sail Brewing #1
Pale Ale,4.5,10.0,American-Style Pale Ale,Full Sail Brewing #1
India Pale Ale,4.5,10.0,American-Style Pale Ale,Full Sail Brewing #1
Slip Knot Imperial IPA 2006,7.8,10.0,American-Style India Pale Ale,Full Sail Brewing #1
Nugget,4.5,10.0,American-Style Amber/Red Ale,Full Sail Brewing #1
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Full Sail Brewing #1
LTD 02 Lager,6.4,10.0,Traditional German-Style Bock,Full Sail Brewing #1
Session Premium Lager,5.1,10.0,American-Style Lager,Full Sail Brewing #1
