beer,abv,ibu,style,brewery
Cork Brown Ale,4.5,10.0,Porter,O'Gara's Bar & Grill
Light Amber Ale,4.5,10.0,American-Style Amber/Red Ale,O'Gara's Bar & Grill
Amber Bock,4.5,10.0,Traditional German-Style Bock,O'Gara's Bar & Grill
Honey Brown,4.5,10.0,American-Style Lager,O'Gara's Bar & Grill
Golden Triangle Triple,8.5,10.0,Undefined-Ignore,On Tap Bistro & Brewery
Belgian Double,7.0,10.0,Undefined-Ignore,On Tap Bistro & Brewery
Patriot Pale Ale,5.2,10.0,American-Style Pale Ale,On Tap Bistro & Brewery
Hop Maniac IPA,6.5,10.0,American-Style India Pale Ale,On Tap Bistro & Brewery
Alt-Er-Ego Amber,5.0,10.0,American-Style Brown Ale,On Tap Bistro & Brewery
Steamroller Stout,6.0,10.0,American-Style Stout,On Tap Bistro & Brewery
Hazy Daze Hefeweizen,5.5,10.0,South German-Style Hefeweizen,On Tap Bistro & Brewery
First Anniversary Ale,4.5,10.0,Undefined-Ignore,Green Flash Brewing
Green Flash Imperial India Pale Ale,9.0,10.0,Imperial or Double India Pale Ale,Green Flash Brewing
Hop Hed Red Ale,6.0,10.0,American-Style Amber/Red Ale,Green Flash Brewing
Barleywine,14.5,10.0,American-Style Barley Wine Ale,Green Flash Brewing
Le Freak Belgian Style IPA,9.0,10.0,Other Belgian-Style Ales,Green Flash Brewing
Pilsner,4.5,10.0,Undefined-Ignore,La Jolla Brew House
India Pale Ale,4.5,10.0,American-Style Pale Ale,La Jolla Brew House
Pale Ale,4.5,10.0,American-Style Pale Ale,La Jolla Brew House
Amber,4.5,10.0,American-Style Amber/Red Ale,La Jolla Brew House
Stout,4.5,10.0,American-Style Stout,La Jolla Brew House
Wheat,4.5,10.0,South German-Style Hefeweizen,La Jolla Brew House
Old 395 Barleywine,4.5,10.0,Undefined-Ignore,San Diego Brewing
Grantville Gold,4.5,10.0,Undefined-Ignore,San Diego Brewing
Mission Gorge Porter,4.5,10.0,Porter,San Diego Brewing
Friars IPA,4.5,10.0,American-Style India Pale Ale,San Diego Brewing
Amber,4.5,10.0,American-Style Amber/Red Ale,San Diego Brewing
Old Town Nut Brown,4.5,10.0,American-Style Brown Ale,San Diego Brewing
Dubble Fantasy,5.0,10.0,Other Belgian-Style Ales,San Diego Brewing
Winter Wheat,4.5,10.0,Undefined-Ignore,San Marcos Brewery & Grill
Caber Tossed,4.5,10.0,Undefined-Ignore,San Marcos Brewery & Grill
Cinnabarr,4.5,10.0,Undefined-Ignore,San Marcos Brewery & Grill
Premium Golden Ale,4.5,10.0,Undefined-Ignore,San Marcos Brewery & Grill
Old English Ale,4.5,10.0,Old Ale,San Marcos Brewery & Grill
Pale Ale,4.5,10.0,American-Style Pale Ale,San Marcos Brewery & Grill
X-Tra Pale,4.5,10.0,American-Style Pale Ale,San Marcos Brewery & Grill
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,San Marcos Brewery & Grill
Oatmeal Stout,4.5,10.0,American-Style Stout,San Marcos Brewery & Grill
Honey Ale,4.5,10.0,American-Style Lager,San Marcos Brewery & Grill
Skye Strong Ale,4.5,10.0,Undefined-Ignore,Port Brewing Company
Bombshell Barleywine,9.8,10.0,Undefined-Ignore,Port Brewing Company
Port Panzer Imperial Pilsner,9.5,10.0,Undefined-Ignore,Port Brewing Company
Old Viscosity,14.55,10.0,Old Ale,Port Brewing Company
Frank Double IPA,8.5,10.0,American-Style India Pale Ale,Port Brewing Company
Wipeout IPA,7.0,10.0,American-Style India Pale Ale,Port Brewing Company
High Tide IPA,6.5,10.0,American-Style India Pale Ale,Port Brewing Company
Hop 15 Ale,14.5,10.0,Imperial or Double India Pale Ale,Port Brewing Company
3rd Anniversary Ale,14.5,10.0,Imperial or Double India Pale Ale,Port Brewing Company
Mongo Double IPA,8.5,10.0,Imperial or Double India Pale Ale,Port Brewing Company
Shark Attack Double Red Ale,9.0,10.0,American-Style Amber/Red Ale,Port Brewing Company
Sharkbite Red,4.5,10.0,American-Style Amber/Red Ale,Port Brewing Company
Red Square,4.5,10.0,American-Style Stout,Port Brewing Company
Broken Keg Ice Bock,15.0,10.0,Traditional German-Style Bock,Port Brewing Company
Z-U-Later Doppelbock,8.0,10.0,Traditional German-Style Bock,Port Brewing Company
Amigo Lager,5.0,10.0,American-Style Lager,Port Brewing Company
Belgian Abbey Red,4.5,10.0,Undefined-Ignore,Karl Strauss Brewery Gardens - Sorrento Mesa
Padre Porter,4.5,10.0,Undefined-Ignore,Karl Strauss Brewery Gardens - Sorrento Mesa
Endless Summer Gold,4.5,10.0,Undefined-Ignore,Karl Strauss Brewery Gardens - Sorrento Mesa
Star of India Pale Ale,4.5,10.0,American-Style Pale Ale,Karl Strauss Brewery Gardens - Sorrento Mesa
Red Trolley Ale,4.5,10.0,American-Style Amber/Red Ale,Karl Strauss Brewery Gardens - Sorrento Mesa
Downtown After Dark,12.0,10.0,American-Style Brown Ale,Karl Strauss Brewery Gardens - Sorrento Mesa
Amber Lager,4.5,10.0,American-Style Lager,Karl Strauss Brewery Gardens - Sorrento Mesa
Half Moon Gold,4.5,10.0,Undefined-Ignore,Northwoods Brewpub Grill
Bubba,4.5,10.0,Undefined-Ignore,Northwoods Brewpub Grill
White Weasel Beer,4.5,10.0,Undefined-Ignore,Northwoods Brewpub Grill
Poplar Porter,4.5,10.0,Porter,Northwoods Brewpub Grill
Birch Wood Ale,4.5,10.0,American-Style Pale Ale,Northwoods Brewpub Grill
Irish Red,4.5,10.0,American-Style Amber/Red Ale,Northwoods Brewpub Grill
Red Cedar Red,4.5,10.0,American-Style Brown Ale,Northwoods Brewpub Grill
Bandit Brown,4.5,10.0,American-Style Brown Ale,Northwoods Brewpub Grill
Dark Walnut Stout,4.5,10.0,American-Style Stout,Northwoods Brewpub Grill
Whitetail Wheat,4.5,10.0,American-Style Lager,Northwoods Brewpub Grill
Classic Pilsener,5.0,10.0,Undefined-Ignore,Nicolet Brewing
Blonde,3.0,10.0,Undefined-Ignore,Nicolet Brewing
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Nicolet Brewing
Prostrator Doppelbock,4.5,10.0,Traditional German-Style Bock,Nicolet Brewing
Winter Fest Beer,4.5,10.0,Traditional German-Style Bock,Nicolet Brewing
Dark Pilsener,5.5,10.0,American-Style Lager,Nicolet Brewing
Gold Rush (discontinued),4.5,10.0,Undefined-Ignore,Rail House Restaurant and Brewpub
Scottish Ale,4.5,10.0,Undefined-Ignore,Rail House Restaurant and Brewpub
Raspberry Pilsner,4.5,10.0,Undefined-Ignore,Rail House Restaurant and Brewpub
Red,4.5,10.0,American-Style Amber/Red Ale,Rail House Restaurant and Brewpub
Oktoberfest (discontinued),4.5,10.0,German-Style Oktoberfest,Rail House Restaurant and Brewpub
Stout (discontinued),4.5,10.0,German-Style Schwarzbier,Rail House Restaurant and Brewpub
Honey Weiss (discontinued),4.5,10.0,American-Style Lager,Rail House Restaurant and Brewpub
Silver Cream,4.5,10.0,American-Style Lager,Rail House Restaurant and Brewpub
Pilsner (discontinued),4.5,10.0,American-Style Lager,Rail House Restaurant and Brewpub
Wooden Ships ESB,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Old Scratch Barleywine 2002,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Old Scratch Barleywine 1996,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Stone of Scone Scotch Ale,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Old Scratch Barleywine 2000,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Bourbon Barleywine,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Drop Anchor Steam,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #1
Black Earth Porter,4.5,10.0,Porter,Great Dane Pub and Brewing #1
Uber APA,4.5,10.0,American-Style Pale Ale,Great Dane Pub and Brewing #1
Old Glory American Pale Ale,4.5,10.0,American-Style Pale Ale,Great Dane Pub and Brewing #1
Black Wolf Ale,4.5,10.0,American-Style Pale Ale,Great Dane Pub and Brewing #1
Landmark Gold,4.5,10.0,American-Style Pale Ale,Great Dane Pub and Brewing #1
Imperial Stout,4.5,10.0,American-Style Stout,Great Dane Pub and Brewing #1
Old Kentucky Stout,4.5,10.0,American-Style Stout,Great Dane Pub and Brewing #1
Crop Circle Wheat,4.5,10.0,South German-Style Hefeweizen,Great Dane Pub and Brewing #1
Pro-Tel Memorial Malt Liquor,4.5,10.0,American-Style Lager,Great Dane Pub and Brewing #1
Raspberry Ale,4.5,10.0,Light American Wheat Ale or Lager,Great Dane Pub and Brewing #1
The Hairy Eyeball,8.8,10.0,Undefined-Ignore,Lagunitas Brewing Company
Brown Shugga,9.9,10.0,Undefined-Ignore,Lagunitas Brewing Company
Lucky 13 Anniversary Release,8.3,10.0,Irish-Style Red Ale,Lagunitas Brewing Company
Undercover Investigation Shut-Down Ale,9.28,10.0,American-Style Pale Ale,Lagunitas Brewing Company
Ruben & The Jets,8.6,10.0,American-Style Strong Pale Ale,Lagunitas Brewing Company
Maximus Ale,8.4,10.0,American-Style India Pale Ale,Lagunitas Brewing Company
IPA,4.5,10.0,American-Style India Pale Ale,Lagunitas Brewing Company
Maximus,7.5,10.0,American-Style India Pale Ale,Lagunitas Brewing Company
Hop Stoopid,8.2,10.0,Imperial or Double India Pale Ale,Lagunitas Brewing Company
Censored (aka The Kronic),5.9,10.0,American-Style Amber/Red Ale,Lagunitas Brewing Company
Lucky 13 Mondo Large Red Ale,8.3,10.0,American-Style Amber/Red Ale,Lagunitas Brewing Company
Imperial Stout,8.2,10.0,American-Style Stout,Lagunitas Brewing Company
Cappuccino Stout,8.3,10.0,American-Style Stout,Lagunitas Brewing Company
Sirius,7.0,10.0,American-Style Cream Ale or Lager,Lagunitas Brewing Company
Eastside Dark,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Holiday Spice Lager Beer,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Beer Line 2000,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Cattail Ale,4.5,10.0,Undefined-Ignore,Lakefront Brewery
White,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Organic Extra Special Bitter,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Old 3rd Street XXX Belgian Strong Ale,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Rendezvous BiíÂre de Garde,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Fuel Cafe,5.9,10.0,Undefined-Ignore,Lakefront Brewery
Broke Spoke Pilsner,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Klisch,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Pumpkin Lager,4.5,10.0,Undefined-Ignore,Lakefront Brewery
Cream City Pale Ale,4.5,10.0,American-Style Pale Ale,Lakefront Brewery
Lakefront IPA,4.5,10.0,American-Style India Pale Ale,Lakefront Brewery
Snake Chaser,4.5,10.0,American-Style Stout,Lakefront Brewery
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Lakefront Brewery
Big Easy Beer,4.5,10.0,Traditional German-Style Bock,Lakefront Brewery
Bock,4.5,10.0,Traditional German-Style Bock,Lakefront Brewery
Riverwest Stein Beer,4.5,10.0,American-Style Lager,Lakefront Brewery
Samuel Adams Utopias MMIV,24.0,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Triplebock 1995,4.5,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Triplebock 1994,17.0,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Spring Ale,4.5,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Golden Pilsner,4.5,10.0,Undefined-Ignore,Boston Beer Company
Hard Core Crisp Apple Cider,4.5,10.0,Undefined-Ignore,Boston Beer Company
Longshot Black Lager,4.5,10.0,Undefined-Ignore,Boston Beer Company
Longshot Hazelnut Brown,4.5,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Old Fezziwig Ale,5.9,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Hallertau Imperial Pilsner,8.8,10.0,Undefined-Ignore,Boston Beer Company
Samuel Adams Cherry Wheat,4.5,10.0,English-Style Pale Mild Ale,Boston Beer Company
Samuel Adams Scotch Ale,5.4,10.0,Scotch Ale,Boston Beer Company
Samuel Adams Irish Red,4.5,10.0,Irish-Style Red Ale,Boston Beer Company
Samuel Adams Holiday Porter,5.8,10.0,Porter,Boston Beer Company
Samuel Adams Honey Porter,4.5,10.0,Porter,Boston Beer Company
Longshot American Pale Ale,4.5,10.0,American-Style Pale Ale,Boston Beer Company
Samuel Adams Boston Ale,4.94,10.0,American-Style Pale Ale,Boston Beer Company
Samuel Adams Pale Ale,5.25,10.0,American-Style Pale Ale,Boston Beer Company
Samuel Adams Brown Ale,5.35,10.0,American-Style Brown Ale,Boston Beer Company
Samuel Adams Cream Stout,4.5,10.0,American-Style Stout,Boston Beer Company
Samuel Adams Imperial Stout,9.2,10.0,American-Style Imperial Stout,Boston Beer Company
Samuel Adams Coastal Wheat,5.3,10.0,South German-Style Hefeweizen,Boston Beer Company
Samuel Adams Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Boston Beer Company
Samuel Adams White Ale,4.5,10.0,Belgian-Style White,Boston Beer Company
Samuel Adams Blackberry Witbier,5.5,10.0,Belgian-Style White,Boston Beer Company
Samuel Adams Imperial White,14.53,10.0,Belgian-Style White,Boston Beer Company
Samuel Adams Cranberry Lambic,5.9,10.0,Belgian-Style Fruit Lambic,Boston Beer Company
Samuel Adams Noble Pils,5.2,10.0,German-Style Pilsener,Boston Beer Company
Samuel Adams OctoberFest,5.7,10.0,German-Style Oktoberfest,Boston Beer Company
Samuel Adams Black Lager,4.9,10.0,German-Style Schwarzbier,Boston Beer Company
Samuel Adams Chocolate Bock,5.5,10.0,Traditional German-Style Bock,Boston Beer Company
Samuel Adams Double Bock,8.8,10.0,Traditional German-Style Bock,Boston Beer Company
Samuel Adams Winter Lager,5.8,10.0,Traditional German-Style Bock,Boston Beer Company
Samuel Adams Boston Lager,4.75,10.0,American-Style Lager,Boston Beer Company
Sam Adams Light,4.5,10.0,American-Style Light Lager,Boston Beer Company
Samuel Adams Summer Ale,5.2,10.0,Light American Wheat Ale or Lager,Boston Beer Company
Pumpkin Ale,4.5,10.0,Undefined-Ignore,Hops Haven Brew Haus
Port Washington Old Port Porter,4.5,10.0,Porter,Hops Haven Brew Haus
Port Washington Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Hops Haven Brew Haus
"Triple \H\""""",4.5,10.0,South German-Style Hefeweizen,Hops Haven Brew Haus
Maslifter Oktoberfest,4.5,10.0,German-Style Oktoberfest,Hops Haven Brew Haus
Port Washington Pier 96 Lager,4.5,10.0,American-Style Lager,Hops Haven Brew Haus
Munich Dunkel,4.5,10.0,Undefined-Ignore,Courthouse Pub
Munich Helles,4.5,10.0,Undefined-Ignore,Courthouse Pub
Courthouse Copper,4.5,10.0,American-Style Lager,Courthouse Pub
Canadian Light,4.5,10.0,American-Style Lager,Courthouse Pub
Tripel,14.5,10.0,Undefined-Ignore,New Glarus Brewing Company
Home Town Blonde,4.5,10.0,Undefined-Ignore,New Glarus Brewing Company
Wisconsin Belgian Red Brand,4.5,10.0,Undefined-Ignore,New Glarus Brewing Company
Hop Hearty IPA,6.2,10.0,American-Style India Pale Ale,New Glarus Brewing Company
Native Ale,4.5,10.0,American-Style Amber/Red Ale,New Glarus Brewing Company
Spotted Cow,4.8,10.0,American-Style Amber/Red Ale,New Glarus Brewing Company
Snowshoe Ale,4.5,10.0,American-Style Brown Ale,New Glarus Brewing Company
Fat Squirrel Nut Brown Ale,5.8,10.0,American-Style Brown Ale,New Glarus Brewing Company
Imperial Stout,4.5,10.0,American-Style Stout,New Glarus Brewing Company
Coffee Stout,4.5,10.0,American-Style Stout,New Glarus Brewing Company
Solstice Wheat,4.5,10.0,South German-Style Hefeweizen,New Glarus Brewing Company
Copper Kettle Weiss,4.5,10.0,South German-Style Hefeweizen,New Glarus Brewing Company
Staghorn Oktoberfest,4.5,10.0,German-Style Oktoberfest,New Glarus Brewing Company
Symposium Eisbock,4.5,10.0,Traditional German-Style Bock,New Glarus Brewing Company
Uff-Da Bock,6.75,10.0,Traditional German-Style Bock,New Glarus Brewing Company
Smoked Rye Bock,4.5,10.0,American-Style Lager,New Glarus Brewing Company
Norski Honey Bock,4.5,10.0,American-Style Lager,New Glarus Brewing Company
Zwickel,4.5,10.0,American-Style Lager,New Glarus Brewing Company
Totally Naked,4.2,10.0,American-Style Lager,New Glarus Brewing Company
Edel-Pils,4.5,10.0,American-Style Lager,New Glarus Brewing Company
Apple Ale,4.5,10.0,Light American Wheat Ale or Lager,New Glarus Brewing Company
William Capen Bitter Ale,4.5,10.0,Undefined-Ignore,Slab City Brewing
Shawano Gold,4.5,10.0,Undefined-Ignore,Slab City Brewing
Holiday Ale,4.5,10.0,Undefined-Ignore,Slab City Brewing
Old 47 Ale,4.5,10.0,American-Style Pale Ale,Slab City Brewing
Ale,4.5,10.0,American-Style Pale Ale,Slab City Brewing
Esker Alt,4.5,10.0,American-Style Brown Ale,Slab City Brewing
Milkhouse Stout,4.5,10.0,American-Style Stout,Slab City Brewing
High Noon Wheat Beer,4.5,10.0,South German-Style Hefeweizen,Slab City Brewing
Pilsner,4.5,10.0,Undefined-Ignore,Rock Bottom Restaurant & Brewery - Milwaukee
Belgian Trippel,4.5,10.0,Undefined-Ignore,Rock Bottom Restaurant & Brewery - Milwaukee
Barleywine,4.5,10.0,Undefined-Ignore,Rock Bottom Restaurant & Brewery - Milwaukee
Honey Creek Pale Ale,4.5,10.0,American-Style Pale Ale,Rock Bottom Restaurant & Brewery - Milwaukee
Stillwater Stout,4.5,10.0,American-Style Stout,Rock Bottom Restaurant & Brewery - Milwaukee
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Rock Bottom Restaurant & Brewery - Milwaukee
Scottish Ale,4.8,10.0,Undefined-Ignore,Aberdeen Brewing
Whiskey Barrel Whitetail Cream Ale,4.5,10.0,Undefined-Ignore,Sand Creek Brewing Company
Lilja's Hop Nest Monster,4.5,10.0,American-Style India Pale Ale,Sand Creek Brewing Company
Pioneer Black River Red,4.5,10.0,American-Style Amber/Red Ale,Sand Creek Brewing Company
Groovy Beer,4.5,10.0,American-Style Brown Ale,Sand Creek Brewing Company
Imperial Stout,4.5,10.0,American-Style Stout,Sand Creek Brewing Company
Oderbolz Bock,6.5,10.0,Traditional German-Style Bock,Sand Creek Brewing Company
Artisan Saison,4.5,10.0,Undefined-Ignore,Rocky River Brewing
Oompa Loompa Chocolate Stout,4.5,10.0,Undefined-Ignore,Rocky River Brewing
Golden Eagle Helles,4.5,10.0,Undefined-Ignore,Rocky River Brewing
Bombardier Brown,4.5,10.0,American-Style Brown Ale,Rocky River Brewing
Caramel Bock,4.5,10.0,Undefined-Ignore,August Schell Brewing
Dark,4.5,10.0,Undefined-Ignore,August Schell Brewing
Weizen,4.5,10.0,South German-Style Hefeweizen,August Schell Brewing
Grain Belt,4.6,10.0,American-Style Lager,August Schell Brewing
London Banker ESB,4.5,10.0,Undefined-Ignore,Granite City Food & Brewery - Saint Cloud
Pride of Pilsen,4.5,10.0,Undefined-Ignore,Granite City Food & Brewery - Saint Cloud
Duke of Wellington IPA,4.5,10.0,American-Style India Pale Ale,Granite City Food & Brewery - Saint Cloud
Broad Ax Stout,4.5,10.0,American-Style Stout,Granite City Food & Brewery - Saint Cloud
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Granite City Food & Brewery - Saint Cloud
Victory Lager,4.5,10.0,American-Style Lager,Granite City Food & Brewery - Saint Cloud
Northern Light,4.5,10.0,American-Style Lager,Granite City Food & Brewery - Saint Cloud
Old Skeezer Barley Wine,4.5,10.0,Undefined-Ignore,Pearl Street Brewery
Hemp Ale,4.5,10.0,Undefined-Ignore,America's Brewing
Payton Pilsner,4.5,10.0,Undefined-Ignore,America's Brewing
Aurora Amber Ale,4.5,10.0,American-Style Pale Ale,America's Brewing
Golden Light,4.5,10.0,American-Style Pale Ale,America's Brewing
Sweeney Stout,4.5,10.0,American-Style Stout,America's Brewing
Schwartzbier,4.5,10.0,German-Style Schwarzbier,America's Brewing
Honey Wheat Ale,4.5,10.0,American-Style Lager,America's Brewing
Griesendiech Pilsner,4.5,10.0,Undefined-Ignore,O'Fallon Brewery
Kayak Kí_lsch,4.5,10.0,Undefined-Ignore,Lake Superior Brewing
Old Man Winter Warmer 2002,4.5,10.0,Undefined-Ignore,Lake Superior Brewing
Old Man Winter Warmer 2001,4.5,10.0,Undefined-Ignore,Lake Superior Brewing
Old Man Winter Warmer 2000,4.5,10.0,Undefined-Ignore,Lake Superior Brewing
Sir Duluth Oatmeal Stout,4.5,10.0,American-Style Stout,Lake Superior Brewing
Coffee Ale,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #2
Old Scratch Barleywine 1997,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #2
Sugar River ESB,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #2
Verrí_ckte Stadt Pilsner,4.5,10.0,Undefined-Ignore,Great Dane Pub and Brewing #2
New Peculier,4.5,10.0,Old Ale,Great Dane Pub and Brewing #2
Stone of Scone Scotch Ale,4.5,10.0,Scotch Ale,Great Dane Pub and Brewing #2
Black Earth Porter,4.5,10.0,Porter,Great Dane Pub and Brewing #2
Old Glory American Pale Ale,4.5,10.0,American-Style Pale Ale,Great Dane Pub and Brewing #2
Foxy Brown,4.5,10.0,American-Style Brown Ale,Great Dane Pub and Brewing #2
Crop Circle Wheat,4.5,10.0,South German-Style Hefeweizen,Great Dane Pub and Brewing #2
Landmark Light,4.5,10.0,American-Style Lager,Great Dane Pub and Brewing #2
Augsburger Golden,4.5,10.0,Undefined-Ignore,Stevens Point Brewery
White BiíÂre,4.5,10.0,Undefined-Ignore,Stevens Point Brewery
Pale Ale,4.5,10.0,American-Style Pale Ale,Stevens Point Brewery
Spring Bock,4.5,10.0,Traditional German-Style Bock,Stevens Point Brewery
Bock,4.5,10.0,Traditional German-Style Bock,Stevens Point Brewery
Lizard Lager,4.5,10.0,American-Style Lager,Stevens Point Brewery
Augsburger Dark,4.5,10.0,American-Style Lager,Stevens Point Brewery
Amber Lager,4.5,10.0,American-Style Lager,Stevens Point Brewery
Special Beer,4.5,10.0,American-Style Lager,Stevens Point Brewery
Luna Stout,4.5,10.0,Undefined-Ignore,Green Bay Brewing
Barley Wine 2001,4.5,10.0,Undefined-Ignore,Green Bay Brewing
Hinterland Packerland Pilsner,4.5,10.0,Undefined-Ignore,Green Bay Brewing
Hinterland Maple Bock,4.5,10.0,Undefined-Ignore,Green Bay Brewing
Hinterland Mild Cask Ale,4.5,10.0,English-Style Pale Mild Ale,Green Bay Brewing
Hinterland Pale Ale,4.5,10.0,American-Style Pale Ale,Green Bay Brewing
Hinterland Pub Draught,4.5,10.0,American-Style Pale Ale,Green Bay Brewing
Hinterland Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Green Bay Brewing
Hinterland Weizen Bier,4.5,10.0,South German-Style Hefeweizen,Green Bay Brewing
Marzenbier,4.5,10.0,German-Style Oktoberfest,Green Bay Brewing
Helles Bock,4.5,10.0,Traditional German-Style Bock,Green Bay Brewing
Hinterland Honey Wheat,4.5,10.0,American-Style Lager,Green Bay Brewing
Framboise,4.5,10.0,Light American Wheat Ale or Lager,Green Bay Brewing
Saison,4.5,10.0,Undefined-Ignore,Titletown Brewing
Czech Mate Pilsner,4.5,10.0,Undefined-Ignore,Titletown Brewing
Steam Engine Common,4.5,10.0,Undefined-Ignore,Titletown Brewing
Birra Canadeo / Gridiron Gold,4.5,10.0,Undefined-Ignore,Titletown Brewing
Winter Gale Spiced Ale,4.5,10.0,Undefined-Ignore,Titletown Brewing
English ESB,4.5,10.0,Undefined-Ignore,Titletown Brewing
Belgian Trippel,4.5,10.0,Undefined-Ignore,Titletown Brewing
Art Schmidt Pilsner,4.5,10.0,Undefined-Ignore,Titletown Brewing
Colonel Kolsch,4.5,10.0,Undefined-Ignore,Titletown Brewing
Millennium Ale,4.5,10.0,Undefined-Ignore,Titletown Brewing
Piper Down Scottish Ale,4.5,10.0,Undefined-Ignore,Titletown Brewing
New Century Beer,4.5,10.0,Undefined-Ignore,Titletown Brewing
Belgian Summer Ale,4.5,10.0,Undefined-Ignore,Titletown Brewing
Fort Edward Augustus 1770 Scottish Ale,4.5,10.0,Undefined-Ignore,Titletown Brewing
"The \400\"" Honey Ale""",4.5,10.0,Undefined-Ignore,Titletown Brewing
Princess of Darkness Porter,4.5,10.0,Porter,Titletown Brewing
"Pale Ale \íç la Bushner\""""",4.5,10.0,American-Style Pale Ale,Titletown Brewing
Old Fort Howard Pale Ale,4.5,10.0,American-Style Pale Ale,Titletown Brewing
Hopping Turtle Pale Ale,4.5,10.0,American-Style Pale Ale,Titletown Brewing
Imperial IPA,4.5,10.0,American-Style India Pale Ale,Titletown Brewing
"Johnny \Blood\"" McNally Irish Red""",4.5,10.0,American-Style Amber/Red Ale,Titletown Brewing
Railyard Ale,4.5,10.0,American-Style Amber/Red Ale,Titletown Brewing
Toasted Oats & Molasses Brown Ale,4.5,10.0,American-Style Brown Ale,Titletown Brewing
Boxcar Brown Ale,4.5,10.0,American-Style Brown Ale,Titletown Brewing
Bridge Out Stout,4.5,10.0,American-Style Stout,Titletown Brewing
Dousman Street Wheat,4.5,10.0,South German-Style Hefeweizen,Titletown Brewing
Weizen Bock,14.5,10.0,South German-Style Weizenbock,Titletown Brewing
March Mí_rzen,4.5,10.0,German-Style Oktoberfest,Titletown Brewing
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Titletown Brewing
Discombobulator Maibock,4.5,10.0,Traditional German-Style Bock,Titletown Brewing
Befuddelator Doppelbock,4.5,10.0,Traditional German-Style Bock,Titletown Brewing
Roundhouse Rye,4.5,10.0,American-Style Lager,Titletown Brewing
Red Lager,4.5,10.0,American-Style Lager,Titletown Brewing
Old Broadway Cream Ale,4.5,10.0,American-Style Lager,Titletown Brewing
Schlafly Kí_lsch,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly ESB,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly Tripel,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly Winter ESB,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly Pilsner,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly Witbier,4.5,10.0,Undefined-Ignore,Saint Louis Brewery / Schlafy Tap Room
Schlafly Pale Ale,4.5,10.0,American-Style Pale Ale,Saint Louis Brewery / Schlafy Tap Room
Dry-Hopped APA,5.9,510.0,American-Style Pale Ale,Saint Louis Brewery / Schlafy Tap Room
Schlafly IPA,4.5,10.0,American-Style India Pale Ale,Saint Louis Brewery / Schlafy Tap Room
Schlafly Altbier,4.5,10.0,American-Style Brown Ale,Saint Louis Brewery / Schlafy Tap Room
Schlafly Oatmeal Stout,4.5,10.0,American-Style Stout,Saint Louis Brewery / Schlafy Tap Room
Coffee Stout,5.7,310.0,American-Style Stout,Saint Louis Brewery / Schlafy Tap Room
Baracktoberfest,4.5,10.0,German-Style Oktoberfest,Saint Louis Brewery / Schlafy Tap Room
Schlafly Oktoberfest,5.1,10.0,German-Style Oktoberfest,Saint Louis Brewery / Schlafy Tap Room
Schlafly Smoked Porter,4.5,10.0,American-Style Lager,Saint Louis Brewery / Schlafy Tap Room
Schlafly Hefeweizen,4.5,10.0,American-Style Lager,Saint Louis Brewery / Schlafy Tap Room
