beer,abv,ibu,style,brewery,city,state
Bigfoot 1999,9.6,10.0,Undefined-Ignore,Sierra Nevada Brewing Co.,Chico,California
Bigfoot 1991,9.6,10.0,Undefined-Ignore,Sierra Nevada Brewing Co.,Chico,California
Bigfoot 1997,9.6,10.0,Undefined-Ignore,Sierra Nevada Brewing Co.,Chico,California
Bigfoot 1996,9.6,10.0,Undefined-Ignore,Sierra Nevada Brewing Co.,Chico,California
Porter,5.6,10.0,Porter,Sierra Nevada Brewing Co.,Chico,California
Harvest Ale 2007,6.7,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
India Pale Ale,6.8,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Celebration Ale 1992,4.5,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Harvest Ale,6.5,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Sierra Nevada Pale Ale,5.6,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
ESB - Early Spring Beer,5.9,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Southern Hemisphere Harvest Fresh Hop  Ale,6.7,10.0,American-Style Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Anniversary Ale 2007,5.9,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Celebration Ale,6.8,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Torpedo Extra IPA,7.2,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Chico Estate Harvest Ale,6.7,10.0,American-Style India Pale Ale,Sierra Nevada Brewing Co.,Chico,California
Bigfoot,9.6,10.0,American-Style Barley Wine Ale,Sierra Nevada Brewing Co.,Chico,California
Stout,5.8,10.0,American-Style Stout,Sierra Nevada Brewing Co.,Chico,California
Sierra Nevada Imperial Stout,14.55,10.0,American-Style Imperial Stout,Sierra Nevada Brewing Co.,Chico,California
Sierra Nevada Kellerweis,4.5,10.0,South German-Style Hefeweizen,Sierra Nevada Brewing Co.,Chico,California
Summerfest,5.0,10.0,German-Style Pilsener,Sierra Nevada Brewing Co.,Chico,California
Glissade Golden Bock,6.4,10.0,German-Style Heller Bock/Maibock,Sierra Nevada Brewing Co.,Chico,California
Dark Wheat,4.5,10.0,American-Style Lager,Sierra Nevada Brewing Co.,Chico,California
Unfiltered Wheat Beer,4.4,10.0,Light American Wheat Ale or Lager,Sierra Nevada Brewing Co.,Chico,California
Cocoa Porter,4.5,10.0,Undefined-Ignore,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Pick Axe Pale Ale,4.5,10.0,American-Style Pale Ale,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Maple Nut Brown Ale Ale,4.5,10.0,American-Style Brown Ale,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Imperial Nut Brown,9.8,10.0,American-Style Brown Ale,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Black Powder Stout,4.5,10.0,American-Style Stout,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Butthead Doppelbock,8.2,10.0,German-Style Doppelbock,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Ornery Amber Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Alpine Glacier Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Red Eye Lager,4.5,10.0,American-Style Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Tundrabeary Ale,4.5,10.0,Light American Wheat Ale or Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Jack Whacker Wheat Ale,4.5,10.0,Light American Wheat Ale or Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado
Bridal Ale 2005,4.5,10.0,Undefined-Ignore,Pelican Pub & Brewery,Pacific City,Oregon
India Pelican Ale,4.5,10.0,American-Style Pale Ale,Pelican Pub & Brewery,Pacific City,Oregon
Doryman's Dark Ale,5.8,10.0,American-Style Brown Ale,Pelican Pub & Brewery,Pacific City,Oregon
Red Sled Winter Ale,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company,Papillion,Nebraska
Irish Red,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company,Papillion,Nebraska
Belgian Wit,4.5,10.0,Undefined-Ignore,Nebraska Brewing Company,Papillion,Nebraska
Porter,4.5,10.0,Porter,Nebraska Brewing Company,Papillion,Nebraska
Cardinal Pale Ale,4.5,10.0,American-Style Pale Ale,Nebraska Brewing Company,Papillion,Nebraska
India Pale Ale,4.5,10.0,American-Style Pale Ale,Nebraska Brewing Company,Papillion,Nebraska
Brunette Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Nebraska Brewing Company,Papillion,Nebraska
EOS Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Nebraska Brewing Company,Papillion,Nebraska
Bourbon County Stout 2007,13.0,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Matilda,7.0,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Pere Jacques,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Pils,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Summertime Kí_lsch,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Christmas Ale,4.5,10.0,Undefined-Ignore,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Stockyard Oatmeal Stout,6.0,10.0,Oatmeal Stout,Goose Island Beer Company - Fulton Street,Chicago,Illinois
India Pale Ale,4.5,10.0,American-Style Pale Ale,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Goose Island IPA,5.9,10.0,American-Style India Pale Ale,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Hex Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Oatmeal Stout,4.5,10.0,American-Style Stout,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Demolition,8.0,10.0,American-Style Lager,Goose Island Beer Company - Fulton Street,Chicago,Illinois
Baderbrí_u Pilsener,4.5,10.0,American-Style Lager,Goose Island Beer Company - Fulton Street,Chicago,Illinois
