beer,abv,ibu,style,brewery,city,state
Imperial Stout,6.2,10.0,American-Style Stout,Twin Rivers Brewing,Monroe,Washington
Bock,5.0,10.0,Traditional German-Style Bock,Twin Rivers Brewing,Monroe,Washington
Weissbier,4.3,10.0,American-Style Lager,Twin Rivers Brewing,Monroe,Washington
Nebraska Bitter,4.5,10.0,Undefined-Ignore,McMenamins Mill Creek,Mill Creek,Washington
Golden,4.5,10.0,Undefined-Ignore,McMenamins Mill Creek,Mill Creek,Washington
Porter,4.5,10.0,Porter,McMenamins Mill Creek,Mill Creek,Washington
I.M. Pale,4.5,10.0,American-Style Pale Ale,McMenamins Mill Creek,Mill Creek,Washington
India Pale Ale,4.5,10.0,American-Style Pale Ale,McMenamins Mill Creek,Mill Creek,Washington
Hammerhead Ale,4.5,10.0,American-Style Pale Ale,McMenamins Mill Creek,Mill Creek,Washington
Irish Stout,4.5,10.0,American-Style Stout,McMenamins Mill Creek,Mill Creek,Washington
Terminator Stout,6.45,10.0,American-Style Stout,McMenamins Mill Creek,Mill Creek,Washington
Wheat Beer,4.5,10.0,American-Style Lager,McMenamins Mill Creek,Mill Creek,Washington
Icebreaker Barley Wine,4.5,10.0,Undefined-Ignore,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
E.S.B.,4.5,10.0,Undefined-Ignore,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Golden Ale,5.2,10.0,Undefined-Ignore,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Possession Porter,5.6,10.0,Porter,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Lighthouse Ale,4.3,10.0,American-Style Pale Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
IPA,6.2,10.0,American-Style India Pale Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Industrial IPA,7.4,10.0,Imperial or Double India Pale Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Brown Ale,5.6,10.0,American-Style Brown Ale,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Steamer Glide Stout,4.8,10.0,American-Style Stout,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Hefe-Weizen,5.8,10.0,South German-Style Hefeweizen,Diamond Knot Brewery & Alehouse,Mukilteo,Washington
Golden,4.5,10.0,Undefined-Ignore,Eagle Brewing,Mukilteo,Washington
Homeport Blonde,4.6,10.0,Undefined-Ignore,Scuttlebutt Brewing,Everett,Washington
Porter,5.8,10.0,Porter,Scuttlebutt Brewing,Everett,Washington
Gale Force IPA,5.6,10.0,American-Style India Pale Ale,Scuttlebutt Brewing,Everett,Washington
Sequoia Red,4.5,10.0,American-Style Amber/Red Ale,Scuttlebutt Brewing,Everett,Washington
Nut Brown,4.3,10.0,American-Style Brown Ale,Scuttlebutt Brewing,Everett,Washington
Amber Ale,5.1,10.0,American-Style Brown Ale,Scuttlebutt Brewing,Everett,Washington
Maibock,4.5,10.0,Traditional German-Style Bock,Scuttlebutt Brewing,Everett,Washington
Hefe Weizen,4.6,10.0,American-Style Lager,Scuttlebutt Brewing,Everett,Washington
Red Card Lager,6.65,10.0,Undefined-Ignore,Skagit River Brewing,Mount Vernon,Washington
Dutch Girl Lager,4.3,10.0,Undefined-Ignore,Skagit River Brewing,Mount Vernon,Washington
Highwater Porter,6.0,10.0,Porter,Skagit River Brewing,Mount Vernon,Washington
Yellowjacket Pale Ale,4.5,10.0,American-Style Pale Ale,Skagit River Brewing,Mount Vernon,Washington
Navidad,4.5,10.0,American-Style Amber/Red Ale,Skagit River Brewing,Mount Vernon,Washington
Free Bike Amber,4.5,10.0,American-Style Amber/Red Ale,Skagit River Brewing,Mount Vernon,Washington
Steelie Brown Ale,4.5,10.0,American-Style Brown Ale,Skagit River Brewing,Mount Vernon,Washington
Skagit Brown Ale,4.8,10.0,American-Style Brown Ale,Skagit River Brewing,Mount Vernon,Washington
Trumpeter,4.5,10.0,American-Style Stout,Skagit River Brewing,Mount Vernon,Washington
Skibbereen Stout,5.3,10.0,American-Style Stout,Skagit River Brewing,Mount Vernon,Washington
Del Rio Lager,4.0,10.0,American-Style Lager,Skagit River Brewing,Mount Vernon,Washington
Barleywine,4.5,10.0,Undefined-Ignore,Engine House #9,Tacoma,Washington
Tacoma Brew,5.1,10.0,Undefined-Ignore,Engine House #9,Tacoma,Washington
Belgian White,4.1,10.0,Undefined-Ignore,Engine House #9,Tacoma,Washington
Porter,5.9,10.0,Porter,Engine House #9,Tacoma,Washington
Imperial Pale,4.5,10.0,American-Style Pale Ale,Engine House #9,Tacoma,Washington
India Pale Ale,6.6,10.0,American-Style Pale Ale,Engine House #9,Tacoma,Washington
Firehouse Red,4.5,10.0,American-Style Amber/Red Ale,Engine House #9,Tacoma,Washington
Irish Stout,4.5,10.0,American-Style Stout,Engine House #9,Tacoma,Washington
Hefeweizen,4.3,10.0,South German-Style Hefeweizen,Engine House #9,Tacoma,Washington
Spring Bock,4.5,10.0,Traditional German-Style Bock,Engine House #9,Tacoma,Washington
Thornton Creel Ale,4.5,10.0,Undefined-Ignore,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Blonde Ale,4.5,10.0,Undefined-Ignore,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Light,4.5,10.0,Undefined-Ignore,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Leviathan 2004,14.5,10.0,Undefined-Ignore,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Monkfish Tripel,4.5,10.0,Undefined-Ignore,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Old Woody 2005,14.5,10.0,Old Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Mudshark Porter,4.5,10.0,Porter,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
WinterFish Ale,7.5,10.0,American-Style Pale Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Wild Salmon Pale Ale,4.0,10.0,American-Style Pale Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Organic India Pale Ale,6.7,10.0,American-Style India Pale Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
10 Squared (10í_),14.5,10.0,American-Style India Pale Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Organic Amber Ale,5.0,10.0,American-Style Amber/Red Ale,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Poseidon Imperial Stout,4.5,10.0,American-Style Stout,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Detonator Doppelbock,8.0,10.0,Traditional German-Style Bock,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Blind Pig Dunkelweizen,4.7,10.0,American-Style Lager,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Whistling Pig Hefeweizen,4.5,10.0,American-Style Lager,Fish Brewing Company & Fish Tail Brewpub,Olympia,Washington
Curve Ball,4.8,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
"5,000 Year Ale",4.5,10.0,Undefined-Ignore,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Snow Cap,7.0,10.0,Old Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Tilted Kilt Ale,4.5,10.0,Scotch Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
DPA,5.1,10.0,American-Style Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Thunder Head IPA,6.7,10.0,American-Style India Pale Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Krystal Weizen,4.9,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Amber Weizen,5.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Hefeweizen,5.2,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Seattle",Seattle,Washington
Bourbon Barrel Stout,4.5,10.0,Undefined-Ignore,Issaquah Brewhouse,Issaquah,Washington
Oak Stout,4.5,10.0,Undefined-Ignore,Issaquah Brewhouse,Issaquah,Washington
Two Frog Dubbel,4.5,10.0,Undefined-Ignore,Issaquah Brewhouse,Issaquah,Washington
Farm Frog,4.5,10.0,Undefined-Ignore,Issaquah Brewhouse,Issaquah,Washington
Frosty Frog,4.5,10.0,American-Style Pale Ale,Issaquah Brewhouse,Issaquah,Washington
Castaway Barley Wine Winter Ale,11.0,10.0,Undefined-Ignore,Pacific Rim Brewing,Seattle,Washington
Vashon Old Stock Ale,4.5,10.0,Undefined-Ignore,Pacific Rim Brewing,Seattle,Washington
Admiral ESB,4.5,10.0,Undefined-Ignore,Pacific Rim Brewing,Seattle,Washington
Blacktop Porter,4.5,10.0,Porter,Pacific Rim Brewing,Seattle,Washington
Puget Porter,4.5,10.0,Porter,Pacific Rim Brewing,Seattle,Washington
Alki Ale,4.5,10.0,American-Style Pale Ale,Pacific Rim Brewing,Seattle,Washington
Driftwood Ale,4.5,10.0,American-Style Pale Ale,Pacific Rim Brewing,Seattle,Washington
Rat City IPA,4.5,10.0,American-Style India Pale Ale,Pacific Rim Brewing,Seattle,Washington
Fauntleroy Stout,4.5,10.0,American-Style Stout,Pacific Rim Brewing,Seattle,Washington
Fred,14.5,10.0,Undefined-Ignore,Hair of the Dog Brewing,Portland,Oregon
Rose,7.5,10.0,Undefined-Ignore,Hair of the Dog Brewing,Portland,Oregon
Doggie Claws 2004,11.5,10.0,Undefined-Ignore,Hair of the Dog Brewing,Portland,Oregon
Ruth,4.5,10.0,Undefined-Ignore,Hair of the Dog Brewing,Portland,Oregon
Golden Rose,6.0,10.0,Undefined-Ignore,Hair of the Dog Brewing,Portland,Oregon
Adam,14.5,10.0,Old Ale,Hair of the Dog Brewing,Portland,Oregon
Blue Dot Double India Pale Ale,7.0,10.0,Imperial or Double India Pale Ale,Hair of the Dog Brewing,Portland,Oregon
Chaser Pale,4.5,10.0,Undefined-Ignore,Blackstone Restaurant & Brewery,Nashville,Tennessee
Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Blackstone Restaurant & Brewery,Nashville,Tennessee
Spruce Ale,4.5,10.0,Undefined-Ignore,Siletz Roadhouse & Brewery,Siletz,Oregon
Mojo Ale,4.5,10.0,Undefined-Ignore,Siletz Roadhouse & Brewery,Siletz,Oregon
Paddle Me IPA,4.5,10.0,American-Style India Pale Ale,Siletz Roadhouse & Brewery,Siletz,Oregon
Oatmeal Cream Stout,4.5,10.0,American-Style Stout,Siletz Roadhouse & Brewery,Siletz,Oregon
Black Diamond Imperial Porter,4.5,10.0,American-Style Stout,Siletz Roadhouse & Brewery,Siletz,Oregon
Wooly Bully,4.5,10.0,German-Style Oktoberfest,Siletz Roadhouse & Brewery,Siletz,Oregon
Dancing Trout Ale,4.5,10.0,Undefined-Ignore,Bayern Brewing,Missoula,Montana
Hefeweizen,4.5,10.0,American-Style Lager,Bayern Brewing,Missoula,Montana
Talon,14.55,10.0,Undefined-Ignore,Mendocino Brewing - Ukiah,Ukiah,California
Riverboat Rye,4.5,10.0,Undefined-Ignore,Stone Cellar Brewpub & Restaurant,Appleton,Wisconsin
Masterpiece Porter,4.5,10.0,Porter,Stone Cellar Brewpub & Restaurant,Appleton,Wisconsin
Stout,4.5,10.0,American-Style Stout,Stone Cellar Brewpub & Restaurant,Appleton,Wisconsin
Summer Gold,5.0,10.0,Undefined-Ignore,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Slam Dunkel,4.5,10.0,Undefined-Ignore,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Brilliant Barstool,5.1,10.0,Classic English-Style Pale Ale,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Krooks Mill,5.3,10.0,American-Style Pale Ale,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
California Dreaming,8.0,10.0,Imperial or Double India Pale Ale,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Nokdechiloff,12.7,10.0,American-Style Barley Wine Ale,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Bohemian Blonde,4.7,10.0,German-Style Pilsener,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Manayunk Lager,6.4,10.0,German-Style Oktoberfest,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Schuylkill Punch,6.0,10.0,Fruit Beer,Manayunk Brewery and Restaurant,Philadelphia,Pennsylvania
Ich Bin Ein Berliner Weisse,4.5,10.0,Undefined-Ignore,Nodding Head Brewpub,Philadelphia,Pennsylvania
Tart,4.5,10.0,Undefined-Ignore,Nodding Head Brewpub,Philadelphia,Pennsylvania
Spring Ale,4.5,10.0,Undefined-Ignore,Nodding Head Brewpub,Philadelphia,Pennsylvania
Wee Heavier,9.5,10.0,Scotch Ale,Nodding Head Brewpub,Philadelphia,Pennsylvania
60 Shilling,4.5,10.0,Scotch Ale,Nodding Head Brewpub,Philadelphia,Pennsylvania
Robust Porter,4.5,10.0,Porter,Nodding Head Brewpub,Philadelphia,Pennsylvania
3C Extreme,4.5,10.0,American-Style Pale Ale,Nodding Head Brewpub,Philadelphia,Pennsylvania
Bill Payer Ale / BPA,4.5,10.0,American-Style Pale Ale,Nodding Head Brewpub,Philadelphia,Pennsylvania
Belgian Singel,4.5,10.0,Undefined-Ignore,Independence Brew Pub,Philadelphia,Pennsylvania
Kolsch,4.5,10.0,Undefined-Ignore,Independence Brew Pub,Philadelphia,Pennsylvania
IPA,4.5,10.0,American-Style India Pale Ale,Independence Brew Pub,Philadelphia,Pennsylvania
Red Ale,5.5,10.0,American-Style Amber/Red Ale,Independence Brew Pub,Philadelphia,Pennsylvania
Oatmeal Stout,4.5,10.0,American-Style Stout,Independence Brew Pub,Philadelphia,Pennsylvania
Dunkelweizen,4.5,10.0,Undefined-Ignore,Valley Forge Brewing,Wayne,Pennsylvania
Regiment Pale Ale,6.1,10.0,American-Style Pale Ale,Valley Forge Brewing,Wayne,Pennsylvania
Red Coat Ale,5.7,10.0,American-Style Amber/Red Ale,Valley Forge Brewing,Wayne,Pennsylvania
Piketown Pils,5.1,10.0,Undefined-Ignore,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Seamus Irish Red,5.6,10.0,Undefined-Ignore,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Burns Scottish Ale,5.3,10.0,Undefined-Ignore,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Helles Golden Lager,4.7,10.0,Undefined-Ignore,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Phoenix Pale Ale,5.5,10.0,American-Style Pale Ale,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Anniversary IPA Ahtanum,7.2,10.0,American-Style India Pale Ale,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Anniversary IPA Glacier,7.2,10.0,American-Style India Pale Ale,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Route 113 IPA,7.2,10.0,American-Style India Pale Ale,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Royal Weisse,5.7,10.0,South German-Style Hefeweizen,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Instigator Doppelbock,7.5,10.0,Traditional German-Style Bock,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Helles Bock,6.6,10.0,Traditional German-Style Bock,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Featherweight Lager,4.1,10.0,American-Style Lager,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Sly Fox Christmas Ale,6.5,10.0,Winter Warmer,Sly Fox Brewhouse and Eatery - Royersford,Royersford,Pennsylvania
Indian Red Ale,4.5,10.0,Undefined-Ignore,Porterhouse Restaurant and Brewpub,Lahaska,Pennsylvania
Hop Hazard,4.5,10.0,American-Style Pale Ale,Porterhouse Restaurant and Brewpub,Lahaska,Pennsylvania
Special Ale,4.5,10.0,American-Style Amber/Red Ale,Porterhouse Restaurant and Brewpub,Lahaska,Pennsylvania
Irish Stout,4.5,10.0,American-Style Stout,Porterhouse Restaurant and Brewpub,Lahaska,Pennsylvania
Lager,4.5,10.0,American-Style Lager,Porterhouse Restaurant and Brewpub,Lahaska,Pennsylvania
Irish Red Ale,4.5,10.0,Undefined-Ignore,McKenzie Brew House,Glen Mills,Pennsylvania
Abbey 8,8.0,10.0,Undefined-Ignore,McKenzie Brew House,Glen Mills,Pennsylvania
Farmhouse Saison,6.2,10.0,Undefined-Ignore,McKenzie Brew House,Glen Mills,Pennsylvania
French Country Spring Beer,6.5,10.0,Undefined-Ignore,McKenzie Brew House,Glen Mills,Pennsylvania
Old Rogue Pale Ale,5.5,10.0,American-Style Pale Ale,McKenzie Brew House,Glen Mills,Pennsylvania
East Kent IPA,6.6,10.0,American-Style India Pale Ale,McKenzie Brew House,Glen Mills,Pennsylvania
Unicorn Amber Ale,4.0,10.0,American-Style Amber/Red Ale,McKenzie Brew House,Glen Mills,Pennsylvania
Black Lab Stout,5.7,10.0,American-Style Stout,McKenzie Brew House,Glen Mills,Pennsylvania
5 Czars Imperial Stout,4.5,10.0,American-Style Stout,McKenzie Brew House,Glen Mills,Pennsylvania
Light Lager,3.5,10.0,American-Style Lager,McKenzie Brew House,Glen Mills,Pennsylvania
Scottish Ale,4.5,10.0,Undefined-Ignore,John Harvard's Brewhouse - Wilmington,Wilmington,Delaware
Pale Ale,4.5,10.0,American-Style Pale Ale,John Harvard's Brewhouse - Wilmington,Wilmington,Delaware
Winterfest Lager,4.5,10.0,German-Style Oktoberfest,John Harvard's Brewhouse - Wilmington,Wilmington,Delaware
Half Again Bock,4.5,10.0,Traditional German-Style Bock,John Harvard's Brewhouse - Wilmington,Wilmington,Delaware
Light Lager,4.5,10.0,American-Style Lager,John Harvard's Brewhouse - Wilmington,Wilmington,Delaware
Irish Red Ale,4.5,10.0,Undefined-Ignore,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Iron Hill Belgian Tripel,9.5,10.0,Undefined-Ignore,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Lodestone Lager,4.5,10.0,Undefined-Ignore,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Anvil Ale,4.8,10.0,Extra Special Bitter,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Pig Iron Porter,4.5,10.0,Porter,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Ironbound Ale,5.1,10.0,American-Style Pale Ale,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Kryptonite Imperial IPA,9.0,10.0,Imperial or Double India Pale Ale,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Russian Imperial Stout,9.5,10.0,American-Style Stout,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Light Lager,4.5,10.0,American-Style Lager,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Vienna Red Lager,5.0,10.0,American-Style Lager,Iron Hill Brewery - Wilmingon,Wilmington,Delaware
Mankato Gold,4.5,10.0,Undefined-Ignore,Bandana Brewery,Mankato,Minnesota
Madelia Mild,4.5,10.0,English-Style Pale Mild Ale,Bandana Brewery,Mankato,Minnesota
Anniversary Ale,9.0,10.0,Old Ale,Bandana Brewery,Mankato,Minnesota
Eagle Lake Pale Ale,4.5,10.0,American-Style Pale Ale,Bandana Brewery,Mankato,Minnesota
Kasota IPA,4.5,10.0,American-Style India Pale Ale,Bandana Brewery,Mankato,Minnesota
Saint Peter Red,4.5,10.0,American-Style Amber/Red Ale,Bandana Brewery,Mankato,Minnesota
Rapidan Brown,4.5,10.0,American-Style Brown Ale,Bandana Brewery,Mankato,Minnesota
Four,14.5,10.0,Undefined-Ignore,Allagash Brewing,Portland,Maine
Grand Cru,7.2,10.0,Undefined-Ignore,Allagash Brewing,Portland,Maine
Tripel Reserve,9.0,10.0,Undefined-Ignore,Allagash Brewing,Portland,Maine
Double Ale,4.5,10.0,Undefined-Ignore,Allagash Brewing,Portland,Maine
Speciale Reserve Ale,4.5,10.0,American-Style Pale Ale,Allagash Brewing,Portland,Maine
Allagash White,5.0,10.0,Belgian-Style White,Allagash Brewing,Portland,Maine
Allagash Fluxus 09,8.3,10.0,French & Belgian-Style Saison,Allagash Brewing,Portland,Maine
Pilsner,4.5,10.0,Undefined-Ignore,Firehouse Brewery & Restaurant,Red Oak,Iowa
Stout,4.5,10.0,American-Style Stout,Firehouse Brewery & Restaurant,Red Oak,Iowa
Bock,4.5,10.0,Traditional German-Style Bock,Firehouse Brewery & Restaurant,Red Oak,Iowa
Lemon Wheat,4.5,10.0,Light American Wheat Ale or Lager,Firehouse Brewery & Restaurant,Red Oak,Iowa
Off KIL Ter Scottish Ale,4.5,10.0,Undefined-Ignore,Olde Main Brewing,Ames,Iowa
Caramel Apple Ale,4.5,10.0,English-Style Pale Mild Ale,Olde Main Brewing,Ames,Iowa
Long Face Amber,4.5,10.0,American-Style Amber/Red Ale,Olde Main Brewing,Ames,Iowa
Mild Brown,4.5,10.0,American-Style Brown Ale,Olde Main Brewing,Ames,Iowa
"Stout \To Be Named Later\""""",4.5,10.0,American-Style Stout,Olde Main Brewing,Ames,Iowa
Marzen Lager,4.5,10.0,German-Style Oktoberfest,Olde Main Brewing,Ames,Iowa
Roza Reserve,4.5,10.0,Undefined-Ignore,Snipes Mountain Microbrewery & Restaurant,Sunnyside,Washington
Extra Special Bitter,4.5,10.0,Undefined-Ignore,Snipes Mountain Microbrewery & Restaurant,Sunnyside,Washington
Gingered Ale,4.5,10.0,Undefined-Ignore,Twin Ports Brewing,Superior,Wisconsin
Bourbon Barrel Scotch Ale,7.5,10.0,Undefined-Ignore,Twin Ports Brewing,Superior,Wisconsin
Burntwood Black Ale,4.5,10.0,Porter,Twin Ports Brewing,Superior,Wisconsin
Derailed Ale,4.5,10.0,American-Style Pale Ale,Twin Ports Brewing,Superior,Wisconsin
Hopfenkopf,4.5,10.0,American-Style Pale Ale,Twin Ports Brewing,Superior,Wisconsin
Habaí±ero,4.5,10.0,Undefined-Ignore,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
1100 Wheat Wine,11.5,10.0,Undefined-Ignore,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Witchtree ESB,5.6,10.0,Undefined-Ignore,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Farmhouse Reserve,6.3,10.0,Undefined-Ignore,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
9í_ Wheats,4.5,10.0,Undefined-Ignore,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
XXX English Ale,6.6,10.0,American-Style Pale Ale,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Starfire Pale Ale,6.2,10.0,American-Style Pale Ale,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
El Nií±o IPA,4.5,10.0,American-Style India Pale Ale,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Big Boat Oatmeal Stout,6.6,10.0,American-Style Stout,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Lighthouse Ale,4.4,10.0,American-Style Lager,"Fitger's Brewhouse, Brewery and Grill",Duluth,Minnesota
Chocolate Mint Stout,4.5,10.0,Undefined-Ignore,South Shore Brewery,Ashland,Wisconsin
Witbier,4.5,10.0,Undefined-Ignore,South Shore Brewery,Ashland,Wisconsin
Porter,4.5,10.0,Porter,South Shore Brewery,Ashland,Wisconsin
Pale Ale,4.5,10.0,American-Style Pale Ale,South Shore Brewery,Ashland,Wisconsin
Nut Brown Ale,4.2,10.0,American-Style Brown Ale,South Shore Brewery,Ashland,Wisconsin
Honey Pilsner,4.5,10.0,American-Style Lager,South Shore Brewery,Ashland,Wisconsin
Cream Ale,4.5,10.0,American-Style Lager,South Shore Brewery,Ashland,Wisconsin
Red Lager,4.6,10.0,American-Style Lager,South Shore Brewery,Ashland,Wisconsin
Eastern Sierra Lager,4.5,10.0,Undefined-Ignore,Indian Wells Brewing,Inyokern,California
Desert Pale Ale,4.5,10.0,American-Style Pale Ale,Indian Wells Brewing,Inyokern,California
Mojave Gold,4.5,10.0,American-Style Lager,Indian Wells Brewing,Inyokern,California
Mojave Red,4.5,10.0,American-Style Lager,Indian Wells Brewing,Inyokern,California
Mocha Joe,8.1,10.0,Undefined-Ignore,CJ's Brewery & Grill,La Jolla,California
Kellerbier,4.5,10.0,Undefined-Ignore,Triumph Brewing of New Hope,New Hope,Pennsylvania
Wheat Wine,11.5,10.0,Undefined-Ignore,Portsmouth Brewery,Portsmouth,New Hampshire
Bottle Rocket IPA,6.5,10.0,American-Style India Pale Ale,Portsmouth Brewery,Portsmouth,New Hampshire
5 C's IPA,6.5,10.0,American-Style India Pale Ale,Portsmouth Brewery,Portsmouth,New Hampshire
Kate The Great Russian Imperial Stout,9.5,10.0,American-Style Imperial Stout,Portsmouth Brewery,Portsmouth,New Hampshire
Wild Banshee Barleywine,9.8,10.0,Undefined-Ignore,Far West Ireland Brewing,Redmond,Washington
Three Threads Porter,4.5,10.0,Porter,Far West Ireland Brewing,Redmond,Washington
Irish Red,4.5,10.0,Undefined-Ignore,Diamond Bear Brewing Co.,Little Rock,Arkansas
Southern Blonde,4.5,10.0,Undefined-Ignore,Diamond Bear Brewing Co.,Little Rock,Arkansas
Paradise Porter,4.99,10.0,Porter,Diamond Bear Brewing Co.,Little Rock,Arkansas
Sisyphus Barleywine,11.1,10.0,Undefined-Ignore,Real Ale Brewing Company,Blanco,Texas
Phoenixx Double ESB,7.2,10.0,Extra Special Bitter,Real Ale Brewing Company,Blanco,Texas
Rio Blanco Pale Ale,5.3,10.0,American-Style Pale Ale,Real Ale Brewing Company,Blanco,Texas
Firemans #4,5.1,10.0,Golden or Blonde Ale,Real Ale Brewing Company,Blanco,Texas
Full Moon Pale Rye Ale,5.7,10.0,American Rye Ale or Lager,Real Ale Brewing Company,Blanco,Texas
Pallavicini Pilsner,4.5,10.0,Undefined-Ignore,Pug Ryan's Steakhouse and Brewery,Dillon,Colorado
Silver,5.1,10.0,Undefined-Ignore,Milagro Brewery and Grill,Bernalillo,New Mexico
Black Sheep Espresso Stout,4.5,10.0,Undefined-Ignore,Thunderhead Brewery,Kearney,Nebraska
Dark Wheat,4.5,10.0,Undefined-Ignore,Thunderhead Brewery,Kearney,Nebraska
Belgian Brown,4.5,10.0,Undefined-Ignore,Thunderhead Brewery,Kearney,Nebraska
Saison,4.5,10.0,Undefined-Ignore,Thunderhead Brewery,Kearney,Nebraska
Porter,4.5,10.0,Porter,Thunderhead Brewery,Kearney,Nebraska
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Thunderhead Brewery,Kearney,Nebraska
Chinook Amber,4.5,10.0,American-Style Amber/Red Ale,Thunderhead Brewery,Kearney,Nebraska
Storm Ale,4.5,10.0,American-Style Brown Ale,Thunderhead Brewery,Kearney,Nebraska
Russian Imperial Stout,4.5,10.0,American-Style Stout,Thunderhead Brewery,Kearney,Nebraska
Dry Stout,4.5,10.0,American-Style Stout,Thunderhead Brewery,Kearney,Nebraska
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Thunderhead Brewery,Kearney,Nebraska
Summer Gueuze,4.5,10.0,Belgian-Style Fruit Lambic,Thunderhead Brewery,Kearney,Nebraska
Autumn Strong Lager,4.5,10.0,German-Style Oktoberfest,Thunderhead Brewery,Kearney,Nebraska
Cream Ale,4.5,10.0,American-Style Lager,Thunderhead Brewery,Kearney,Nebraska
American Wheat,4.5,10.0,American-Style Lager,Thunderhead Brewery,Kearney,Nebraska
